Image,Width(pixels),Height(pixels),Height_Width_Ratio,name,locality,number,specimens_number,Longtitude_convert,Latitude_convert,notes
novaehollandiae_chichester_c.165925_01.jpg,3982,3459,0.868658965,novaehollandiae,C.ichester,C.165925,1,151.4166667,-32.11666667,
novaehollandiae_coolongolook_c.112174_01.jpg,4307,3427,0.795681449,novaehollandiae,C.olongolook,C.112174,1,152.3333333,-32.11666667,
novaehollandiae_coolongolook_c.272205_01.jpg,5192,3832,0.738058552,novaehollandiae,C.olongolook,C.272205,1,152.339722,-32.250833,
novaehollandiae_cottan-bimbang_c.575477_01.jpg,3833,3701,0.965562223,novaehollandiae,C.ttan-bimbang,C.575477,1,152.175,-31.41388889,
novaehollandiae_darrington_c.75153_01.jpg,4059,3608,0.888888889,novaehollandiae,darrington,C.75153,1,NA,NA,
novaehollandiae_dorigo_c.272199_01.jpg,3784,3488,0.921775899,novaehollandiae,dorigo,C.272199,1,152.141111,-31.666111,
novaehollandiae_dorigo_c.272203_01.jpg,4632,3936,0.849740933,novaehollandiae,dorigo,C.272203,1,152.766667,-30.366667,
novaehollandiae_dorrigo_c.024546_01.jpg,3548,2968,0.836527621,novaehollandiae,dorrigo,C.024546,1,152.725,-30.375,
novaehollandiae_dorrigo_c.028508_01.jpg,4466,3454,0.773399015,novaehollandiae,dorrigo,C.028508,1,152.725,-30.375,
novaehollandiae_dorrigo_c.031147_01.jpg,4229,3312,0.783163869,novaehollandiae,dorrigo,C.031147,1,152.725,-30.375,
novaehollandiae_dorrigo_c.043899_01.jpg,4080,3512,0.860784314,novaehollandiae,dorrigo,C.043899,1,152.7166667,-30.33833333,
novaehollandiae_dorrigo_c.043899_02.jpg,4312,3872,0.897959184,novaehollandiae,dorrigo,C.043899,2,152.7166667,-30.33833333,
novaehollandiae_dorrigo_c.043899_03.jpg,4136,3630,0.877659574,novaehollandiae,dorrigo,C.043899,3,152.7166667,-30.33833333,
novaehollandiae_dorrigo_c.105157_01.jpg,5040,3864,0.766666667,novaehollandiae,dorrigo,C.105157,1,152.7266667,-30.37666667,
novaehollandiae_dorrigo_c.112183_01.jpg,4395,3482,0.792263936,novaehollandiae,dorrigo,C.112183,1,152.725,-30.375,
novaehollandiae_dorrigo_c.112185_01.jpg,4208,3680,0.874524715,novaehollandiae,dorrigo,C.112185,1,152.4266667,-30.09305556,
novaehollandiae_dorrigo_c.112195_01.jpg,3168,2808,0.886363636,novaehollandiae,dorrigo,C.112195,1,152.4730556,-30.55,
novaehollandiae_dorrigo_c.117955_01.jpg,5048,3832,0.75911252,novaehollandiae,dorrigo,C.117955,1,152.4266667,-30.09305556,
novaehollandiae_dorrigo_c.117955_02.jpg,5170,4158,0.804255319,novaehollandiae,dorrigo,C.117955,2,152.4266667,-30.09305556,
