Species,CodeNumber,Longtitude_convert,Latitude_convert,Museum,Museum
richmondiana,F101416,153.27,-28.82,MV,
richmondiana,F101418,152.97,-28.48,MV,
novaehollandiae,F17540,151.48,-32.02,MV,
novaehollandiae,F104100,152.72,-30.33,MV,
mitchellae,F104095,152.97,-28.48,MV,
richmondiana,F101433,153.15,-27.92,MV,
novaehollandiae,F104104,152.67,-29.48,MV,
richmondiana,F101417,152.97,-28.48,MV,
mitchellae,F104096,152.97,-28.48,MV,
richmondiana,F101432,152.97,-28.48,MV,
richmondiana,F101426,152.97,-28.48,MV,
novaehollandiae,F4849,152.3,-32.28,MV,
richmondiana,F101427,152.67,-29.48,MV,
sp0,F104108,153.35,-28.07,MV,
mitchellae,F104099,152.67,-29.48,MV,
novaehollandiae,F1488,150.75,-32.48,MV,
novaehollandiae,F4848,152.72,-30.33,MV,
richmondiana,F108067,153.45,-28.75,MV,
richmondiana,F1497,153.45,-28.73,MV,
richmondiana,F101419,153.18,-27.95,MV,
novaehollandiae,F104105,151.48,-32.02,MV,
novaehollandiae,F1491,152.53,-30.2,MV,
mitchellae,F104097,153.13,-28.23,MV,
richmondiana,F101415,152.97,-28.48,MV,
richmondiana,F101422,152.97,-28.48,MV,
mitchellae,F4846,153.58,-28.67,MV,
richmondiana,F101429,152.97,-28.48,MV,
novaehollandiae,F4847,152.72,-30.33,MV,
richmondiana,F101431,152.67,-29.48,MV,
novaehollandiae,MO49260,152.251667,-31.41,QM,
darlingtoni,MO55274,153.216667,-28.216667,QM,
novaehollandiae,MO63799,153.094722,-30.242778,QM,
richmondiana,MO10496,153.266667,-28.4,QM,
richmondiana,MO55411,153.216667,-28.25,QM,
novaehollandiae,MO17072,152.733333,-30.366667,QM,
richmondiana,MO25950,153.216667,-28.233333,QM,
mitchellae,MO63813,153.611389,-28.676667,QM,
novaehollandiae,MO66649,153.133333,-28.233333,QM,
novaehollandiae,MO64587,151.812778,-32.286111,QM,
richmondiana,MO5754,153.216667,-28.233333,QM,
novaehollandiae,MO66646,153.133333,-28.216667,QM,
richmondiana,MO59389,153.283333,-28.2,QM,
darlingtoni,MO14690,153.133333,-28.233333,QM,
mitchellae,MO66957,153.609167,-28.6675,QM,
novaehollandiae,MO10840,152.8,-30.366667,QM,
richmondiana,MO33223,153.4,-28.533333,QM,
richmondiana,MO5748,153.2,-28.216667,QM,
novaehollandiae,MO62697,153.116667,-30.25,QM,
richmondiana,MO10396,153.333333,-28.633333,QM,
richmondiana,MO55365,153.283333,-28.2,QM,
mitchellae,MO5784,153.55,-28.166667,QM,
richmondiana,MO129,153.166667,-27.916667,QM,
novaehollandiae,MO17248,153.1,-28.366667,QM,
richmondiana,MO79700,153.141944,-28.215833,QM,
richmondiana,MO27112,153.2,-27.933333,QM,
richmondiana,MO62691,153.133333,-28.233333,QM,
richmondiana,MO11614,152.766667,-27.333333,QM,
richmondiana,MO62230,153.166667,-27.916667,QM,
richmondiana,MO5761,153.166667,-27.916667,QM,
novaehollandiae,MO73804,152.546667,-32.071667,QM,
darlingtoni,MO1766,153.133333,-28.233333,QM,
mitchellae,MO66940,153.608333,-28.669444,QM,
novaehollandiae,MO36952,152.326667,-31.183333,QM,
novaehollandiae,MO62233,153.133333,-28.233333,QM,
novaehollandiae,MO27292,152.416667,-29.516667,QM,
